emg,grf,knee,ankle
29.16772845,-6.471900629,2.501035,6.430772
28.98638772,-6.982988685,2.63981,6.392871
28.9869862,-7.538939986,2.776783,6.351114
28.94688776,-8.143232566,2.911895,6.305544
28.56864571,-8.799344459,3.04509,6.256202
28.53513059,-9.510753699,3.17632,6.203145
28.50041851,-10.28093832,3.305558,6.146447
28.41423677,-11.11337636,3.432783,6.086189
28.36875197,-12.01151057,3.55797,6.02245
28.36575955,-12.97737462,3.68111,5.955326
28.28436569,-14.01114961,3.802212,5.884929
28.0180402,-15.11289058,3.921281,5.811374
28.00068416,-16.28255556,4.038327,5.734777
28.00128264,-17.51861104,4.153375,5.655271
28.0102599,-18.81835443,4.266459,5.572998
28.07310075,-20.17905186,4.377612,5.488102
28.08327498,-21.59782707,4.486872,5.400733
28.09704012,-23.07072017,4.594287,5.31105
28.05873713,-24.59327298,4.699914,5.219223
27.86183581,-26.1610247,4.803808,5.125418
27.89594941,-27.76945258,4.906023,5.029808
27.90851758,-29.41377737,5.006628,4.932574
27.89056305,-31.08915347,5.105691,4.833902
28.00487355,-32.79073615,5.203279,4.733976
28.33583534,-34.513903,5.299462,4.632983
28.45373673,-36.25454708,5.394314,4.531113
28.48785034,-38.00863434,5.487909,4.428559
28.49144124,-39.7721426,5.580321,4.325512
28.4435625,-41.54155838,5.671622,4.222163
28.21793394,-43.31405748,5.761885,4.118703
27.88338124,-45.0868647,5.851184,4.015321
27.87919185,-46.85724025,5.939588,3.912209
27.94801754,-48.62301409,6.027169,3.809549
27.94322967,-50.3824763,6.113988,3.707523
27.73376018,-52.13393013,6.200113,3.606311
27.46025288,-53.87570257,6.285605,3.506093
27.10535172,-55.60630821,6.370521,3.407035
26.59185223,-57.32435068,6.454912,3.309301
26.43804178,-59.02843416,6.538831,3.213056
25.517573,-60.71714874,6.622325,3.118457
25.04177802,-62.3890242,6.705435,3.025648
23.92979428,-64.04257418,6.788195,2.93477
23.60062794,-65.67631191,6.870642,2.845964
23.57070373,-67.28862663,6.952804,2.759362
23.35764334,-68.87761071,7.0347,2.675078
23.31156005,-70.44131299,7.11635,2.593226
23.12483297,-71.97778477,7.197771,2.513921
23.02309064,-73.48518999,7.27897,2.437261
22.97999978,-74.96184989,7.359948,2.363332
22.91416651,-76.40609738,7.440704,2.292218
22.43777305,-77.8162907,7.521236,2.224005
21.7746525,-79.19121528,7.601534,2.158755
21.05347897,-80.530012,7.681577,2.096525
20.482525,-81.83183259,7.761351,2.03737
20.47713864,-83.09589098,7.840832,1.981341
20.34068423,-84.32191123,7.919994,1.928471
20.27544945,-85.50986732,7.998803,1.878785
20.18029045,-86.65973491,8.077226,1.832312
19.9426922,-87.77160897,8.155228,1.789071
19.56744258,-88.84611328,8.232764,1.749064
19.34480644,-89.88401806,8.309793,1.712293
19.33044282,-90.88609378,8.386269,1.678757
19.18022327,-91.85318703,8.462145,1.648448
18.72657221,-92.78633279,8.537367,1.621344
18.54223906,-93.68659463,8.611886,1.597421
18.51351181,-94.55503651,8.685648,1.576658
18.50393607,-95.3927412,8.758599,1.559019
18.50633,-96.20081855,8.830684,1.544464
18.50513303,-96.98038049,8.901845,1.53295
18.50154213,-97.73253756,8.972029,1.524435
18.49615577,-98.45837532,9.041178,1.518864
18.47580731,-99.15895796,9.109235,1.516183
18.47640579,-99.83534895,9.176146,1.516333
18.36089833,-100.488597,9.241853,1.519257
17.83123977,-101.1196245,9.306303,1.524889
17.57748244,-101.7292905,9.369443,1.53316
16.47986233,-102.3184531,9.431223,1.544003
15.59889351,-102.8879189,9.491589,1.557347
15.50014361,-103.4382561,9.550494,1.57312
14.99322745,-103.969965,9.607891,1.591246
14.31035692,-104.4835456,9.663733,1.611651
14.25888727,-104.9794688,9.717977,1.63426
14.23195548,-105.4581311,9.770582,1.658995
14.16013737,-105.9199171,9.82151,1.685777
13.90039521,-106.3652099,9.870725,1.714529
13.73162265,-106.794304,9.91819,1.745173
13.69571359,-107.2073628,9.963876,1.777632
13.48923653,-107.604539,10.007755,1.811828
13.30191096,-107.9859827,10.049797,1.847684
13.24206253,-108.351795,10.08998,1.885124
13.22769891,-108.7020338,10.128287,1.924072
13.20974438,-109.0367556,10.164696,1.964452
13.17802472,-109.3560108,10.199191,2.006191
13.16904745,-109.6597989,10.231759,2.049216
13.16485806,-109.9480924,10.262396,2.093456
13.1636611,-110.2208637,10.291088,2.138841
13.10500964,-110.4780843,10.317833,2.185301
13.04815364,-110.7197219,10.342628,2.23277
11.77398067,-110.9457429,10.365479,2.281184
11.59383691,-111.1561139,10.386382,2.330478
11.58067025,-111.3507845,10.405346,2.380589
11.54176878,-111.5296608,10.42238,2.431458
11.30357204,-111.6926414,10.437497,2.483028
10.93550423,-111.8396252,10.450706,2.535238
10.57162581,-111.9705162,10.462025,2.588036
10.20535344,-112.0852262,10.47147,2.641369
10.09702779,-112.183668,10.479063,2.695186
10.09523234,-112.2657542,10.484822,2.749436
10.09583083,-112.3314041,10.488774,2.804074
10.09523234,-112.3805425,10.490944,2.859054
10.07069449,-112.4130943,10.49136,2.914332
10.06171722,-112.4289863,10.490048,2.969864
10.04675512,-112.4281595,10.487042,3.025614
10.01443697,-112.4105629,10.482374,3.081542
9.984512756,-112.3761454,10.476078,3.137612
9.975535492,-112.3248652,10.468184,3.193789
9.849255315,-112.2567245,10.458735,3.250041
9.797187185,-112.1717393,10.447763,3.306336
9.782225079,-112.0699255,10.435309,3.362645
9.627217658,-111.9513341,10.421412,3.418939
9.427323918,-111.8161116,10.406109,3.475194
9.411164843,-111.6644207,10.389443,3.531383
9.451861772,-111.4964243,10.371454,3.587482
9.473407205,-111.3123026,10.352185,3.64347
9.468020847,-111.1122635,10.331677,3.699327
9.464429942,-110.896517,10.309975,3.755034
9.446475414,-110.6652756,10.287117,3.810572
9.410566359,-110.4188022,10.26315,3.865924
9.301043741,-110.157407,10.238115,3.921076
9.084990927,-109.8814018,10.212054,3.976013
9.035915218,-109.5911086,10.18501,4.03072
8.955119844,-109.2869446,10.157025,4.085186
8.846794195,-108.9693802,10.128142,4.1394
8.811483624,-108.6388862,10.098402,4.19335
8.698968585,-108.2959287,10.067846,4.247027
8.652286813,-107.9409499,10.036513,4.300424
8.390150711,-107.5743846,10.004444,4.353531
7.346992662,-107.1966673,9.971678,4.406343
5.857365362,-106.8082295,9.938254,4.458851
5.18825997,-106.4094932,9.904207,4.511051
4.988964714,-106.0008789,9.869576,4.562938
4.806427018,-105.582807,9.834393,4.614506
4.804033081,-105.1557,9.798696,4.665751
4.593366625,-104.7199834,9.762516,4.71667
4.540700011,-104.2760829,9.725886,4.767259
4.473669774,-103.8244241,9.688839,4.817517
4.016427807,-103.3654293,9.651402,4.86744
3.982314205,-102.8995172,9.613605,4.917026
3.901518831,-102.4271065,9.575475,4.966273
3.711799323,-101.9486068,9.53704,5.015181
3.726162945,-101.464337,9.498322,5.063747
3.724965977,-100.9745642,9.459348,5.111974
3.651950898,-100.4795547,9.420138,5.159857
3.388019344,-99.97957541,9.380718,5.207398
3.362883005,-99.47489457,9.341105,5.254597
3.287473989,-98.96578109,9.301319,5.301454
3.265928556,-98.45250385,9.261377,5.34797
3.243186155,-97.93532433,9.221297,5.394144
3.234807375,-97.41448242,9.181094,5.439976
3.231814954,-96.89021413,9.140783,5.48547
3.225830112,-96.36275482,9.100379,5.530625
3.224633143,-95.83229287,9.059893,5.575443
3.243186155,-95.29893791,9.019337,5.619925
3.247375545,-94.76279203,8.978721,5.664074
3.248572513,-94.22395822,8.938056,5.70789
3.261140682,-93.6825599,8.89735,5.751377
3.265928556,-93.13874076,8.856613,5.794536
3.258746745,-92.59264537,8.81585,5.83737
3.225830112,-92.04441624,8.775072,5.87988
3.213261942,-91.49417466,8.73428,5.922072
3.185133183,-90.9420294,8.69348,5.963946
3.192913478,-90.38808903,8.65268,6.005505
3.204284679,-89.83245326,8.611881,6.046754
3.185731667,-89.27517327,8.571088,6.087696
3.182140761,-88.71628378,8.530304,6.128335
3.182739246,-88.1558195,8.489531,6.168673
3.225830112,-87.5937918,8.448771,6.208717
3.352708773,-87.03014177,8.408028,6.24847
3.390413281,-86.46479726,8.3673,6.287936
3.401784481,-85.89768642,8.326592,6.32712
3.453852611,-85.32875898,8.285905,6.366026
3.47479956,-84.75800205,8.245237,6.404661
3.456246548,-84.1854064,8.20459,6.443028
3.468814717,-83.61096172,8.163965,6.481133
3.47061017,-83.03463062,8.123362,6.518982
3.460435938,-82.45634796,8.08278,6.556581
3.439488989,-81.87604737,8.042223,6.593935
3.404776903,-81.29366192,8.001687,6.631052
3.388019344,-80.70911917,7.961175,6.667935
3.382034501,-80.12234325,7.920687,6.704593
3.382632985,-79.53325827,7.880222,6.741032
3.38323147,-78.94179937,7.839782,6.777259
3.381436017,-78.34796399,7.799367,6.813281
3.37485269,-77.75177145,7.758977,6.849105
3.371261785,-77.15324106,7.718615,6.884738
3.3706633,-76.55236918,7.678279,6.920188
3.348519383,-75.94908065,7.637972,6.955462
3.335951214,-75.34328638,7.597697,6.990569
3.32697395,-74.73489791,7.557453,7.025516
3.306027001,-74.12388153,7.517243,7.06031
3.285080052,-73.51030112,7.477071,7.094961
3.261140682,-72.89423067,7.436936,7.129478
3.258148261,-72.27574545,7.396843,7.163868
3.264133104,-71.65495324,7.356795,7.198141
3.265330072,-71.03199622,7.316794,7.232305
3.265928556,-70.40701818,7.276845,7.266369
3.265928556,-69.78016272,7.236951,7.300342
3.258148261,-69.15157111,7.197117,7.334234
3.252163419,-68.52138314,7.157347,7.368053
3.244981608,-67.8897386,7.117646,7.401809
3.247375545,-67.25678105,7.078018,7.435511
3.236004344,-66.62267618,7.038468,7.469169
3.205481647,-65.9875977,6.999004,7.502792
3.168375624,-65.35171936,6.959629,7.536391
3.141443832,-64.71522382,6.920351,7.569975
3.143239285,-64.07832257,6.881175,7.603553
3.155807454,-63.44123287,6.842108,7.637136
3.155807454,-62.80417162,6.803155,7.670732
3.158201391,-62.16731614,6.764324,7.70435
3.151618065,-61.53077105,6.725623,7.738001
3.147428675,-60.89463314,6.687057,7.771693
3.153413517,-60.2590007,6.648633,7.805436
3.157602907,-59.62401227,6.61036,7.83924
3.154012002,-58.98985016,6.572244,7.87311
