Gait_percent,EMG,GRF,ANKLE
0,18.07646668,37.57765691,-4.630419
0.1,18.10349861,43.07757455,-4.742421
0.2,18.08986304,48.88190463,-4.865044
0.3,18.07407448,54.97135232,-4.997772
0.4,18.05732903,61.31684812,-5.139927
0.5,18.05517605,67.87215502,-5.290678
0.6,17.95877014,74.58009346,-5.449054
0.7,17.59587246,81.3726758,-5.613961
0.8,16.41723249,88.17589618,-5.784207
0.9,11.96366226,94.9153203,-5.958524
1,11.85409922,101.5191779,-6.135585
1.1,11.85792675,107.920842,-6.314038
1.2,12.13446578,114.0618141,-6.492527
1.3,13.44683009,119.893473,-6.669716
1.4,13.6071079,125.3762663,-6.844313
1.5,13.2415788,130.4827724,-7.015092
1.6,13.25330061,135.1969256,-7.180911
1.7,13.27483046,139.5133229,-7.340724
1.8,13.27602657,143.4390292,-7.493599
1.9,13.27889721,146.9908588,-7.638723
2,13.33607094,150.1935188,-7.775412
2.1,13.48534461,153.0775652,-7.903102
2.2,13.50041551,155.676173,-8.021369
2.3,13.50974511,158.0232355,-8.12991
2.4,13.74561664,160.1534965,-8.228543
2.5,14.09152965,162.1021631,-8.317201
2.6,16.33541903,163.9030752,-8.395919
2.7,16.49091244,165.5915968,-8.464834
2.8,17.03394324,167.2019355,-8.524158
2.9,17.8202614,168.7657528,-8.574175
3,18.45132539,170.3147962,-8.615221
3.1,18.33913092,171.876084,-8.647678
3.2,18.37333947,173.4737972,-8.671957
3.3,18.31712262,175.1304911,-8.688478
3.4,17.85638372,176.8644175,-8.697671
3.5,17.59348026,178.6895695,-8.699954
3.6,18.41831294,180.6168859,-8.695731
3.7,17.85710138,182.6537817,-8.685375
3.8,18.31257743,184.8013967,-8.66923
3.9,18.49151445,187.0568833,-8.647599
4,18.47070226,189.4141286,-8.620744
4.1,18.44199579,191.8637063,-8.588885
4.2,18.43123086,194.393037,-8.552192
4.3,18.42859943,196.9903221,-8.510793
4.4,18.42907787,199.6433433,-8.464772
4.5,18.42931709,202.3392288,-8.414174
4.6,18.42836021,205.0666184,-8.358999
4.7,18.42285814,207.8137871,-8.299217
4.8,18.42261892,210.5711603,-8.234759
4.9,18.42333658,213.3328915,-8.165529
5,18.42261892,216.0961545,-8.091403
5.1,18.40372049,218.8609112,-8.012232
5.2,18.46615707,221.6320427,-7.927853
5.3,18.83383916,224.4187965,-7.838083
5.4,18.63767825,227.2313112,-7.74273
5.5,18.59701074,230.0827749,-7.641596
5.6,18.5883988,232.9870912,-7.534482
5.7,18.58696348,235.958056,-7.421194
5.8,18.59007335,239.0106059,-7.30155
5.9,18.58815958,242.1585053,-7.175385
6,18.53983702,245.4157923,-7.042556
6.1,18.43649371,248.7969186,-6.902957
6.2,18.41855216,252.3149107,-6.756515
6.3,18.40898334,255.9810022,-6.603201
6.4,18.21688918,259.805945,-6.44304
6.5,17.95446417,263.8000574,-6.276106
6.6,15.92754788,267.9722384,-6.10253
6.7,15.74023814,272.3315857,-5.922506
6.8,15.16993619,276.8872092,-5.736288
6.9,14.11138496,281.64869,-5.54418
7,13.39467999,286.6270134,-5.346556
7.1,13.37793455,291.8329844,-5.143835
7.2,13.32817666,297.2782519,-4.936489
7.3,13.30497226,302.9747015,-4.725033
7.4,13.29277201,308.9326099,-4.510021
